,n,mean,sd,skew,ex_kurt,min,max,ADF,ADF_p,KPSS,JB_p,LB10_p,ARCH10_p
SPUS,1635.0,0.076,1.34,-0.11,8.0,-9.8,10.8,-12.9,0.0,0.04,0.0,0.0,0.0
HLAL,1744.0,0.07,1.28,-0.37,10.5,-10.3,10.1,-13.0,0.0,0.04,0.0,0.0,0.0
AMANX,6909.0,0.039,0.97,-0.15,8.8,-10.1,9.0,-17.2,0.0,0.14,0.0,0.0,0.0
SPSK,1627.0,0.004,0.34,-0.01,3.2,-1.7,2.0,-9.5,0.0,0.15,0.0,0.0,0.0
SPY,6909.0,0.04,1.21,0.04,11.7,-10.9,14.5,-20.3,0.0,0.33,0.0,0.0,0.0
XLF,6909.0,0.039,1.78,0.31,14.9,-16.7,16.5,-15.0,0.0,0.1,0.0,0.0,0.0
AGG,5719.0,0.013,0.33,-1.79,49.5,-6.8,3.9,-16.0,0.0,0.22,0.0,0.0,0.0
EMB,4655.0,0.021,0.68,-1.6,35.7,-10.1,6.7,-14.9,0.0,0.07,0.0,0.0,0.0
MBB,4848.0,0.011,0.29,-0.03,11.8,-3.1,3.1,-17.6,0.0,0.29,0.0,0.0,0.0
CMBS,3607.0,0.01,0.35,-1.7,45.6,-6.6,3.8,-16.8,0.0,0.09,0.0,0.0,0.0
